"Numer okręgu";"Siedziba OKW";"Numer listy";"Nazwa";"Liczba kandydatów";"Udział w podziale mandatów";"Liczba głosów";"Procent głosów w okręgu";"Liczba mandatów"
1;"Gdańsk";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";33188;"4,01";0
1;"Gdańsk";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";50862;"6,15";0
1;"Gdańsk";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";419182;"50,66";2
1;"Gdańsk";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";285740;"34,53";1
1;"Gdańsk";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";7946;"0,96";0
1;"Gdańsk";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";9;"Nie";22114;"2,67";0
1;"Gdańsk";7;"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI";10;"Nie";8425;"1,02";0
2;"Bydgoszcz";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";25223;"3,80";0
2;"Bydgoszcz";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";39412;"5,94";0
2;"Bydgoszcz";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";305362;"46,01";1
2;"Bydgoszcz";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";260408;"39,24";1
2;"Bydgoszcz";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";7533;"1,14";0
2;"Bydgoszcz";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";25694;"3,87";0
3;"Olsztyn";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";38866;"4,90";0
3;"Olsztyn";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";45424;"5,73";0
3;"Olsztyn";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";293677;"37,03";1
3;"Olsztyn";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";375001;"47,29";2
3;"Olsztyn";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";11517;"1,45";0
3;"Olsztyn";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";28512;"3,60";0
4;"Warszawa";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";71784;"5,18";0
4;"Warszawa";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";142443;"10,28";1
4;"Warszawa";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";625719;"45,17";3
4;"Warszawa";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";447770;"32,32";2
4;"Warszawa";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";24778;"1,79";0
4;"Warszawa";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";49824;"3,60";0
4;"Warszawa";7;"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI";10;"Nie";22988;"1,66";0
5;"Warszawa";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";34923;"4,10";0
5;"Warszawa";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";33302;"3,91";0
5;"Warszawa";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";227106;"26,69";1
5;"Warszawa";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";512158;"60,20";2
5;"Warszawa";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";6434;"0,76";0
5;"Warszawa";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";27829;"3,27";0
5;"Warszawa";7;"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI";10;"Nie";6784;"0,80";0
5;"Warszawa";10;"KOMITET WYBORCZY JEDNOŚĆ NARODU";10;"Nie";2211;"0,26";0
6;"Łódź";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";37899;"4,15";0
6;"Łódź";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";50696;"5,56";0
6;"Łódź";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";347620;"38,09";1
6;"Łódź";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";426046;"46,69";2
6;"Łódź";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";9;"Nie";17849;"1,96";0
6;"Łódź";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";32476;"3,56";0
7;"Poznań";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";55970;"4,67";0
7;"Poznań";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";93504;"7,80";1
7;"Poznań";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";518706;"43,25";2
7;"Poznań";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";460432;"38,39";2
7;"Poznań";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";19226;"1,60";0
7;"Poznań";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";51500;"4,29";0
8;"Lublin";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";32706;"4,42";0
8;"Lublin";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";22692;"3,07";0
8;"Lublin";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";208392;"28,17";1
8;"Lublin";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";436139;"58,95";2
8;"Lublin";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";5302;"0,72";0
8;"Lublin";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";29567;"4,00";0
8;"Lublin";7;"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI";10;"Nie";5071;"0,69";0
9;"Rzeszów";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";43976;"5,89";0
9;"Rzeszów";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";22881;"3,06";0
9;"Rzeszów";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";160988;"21,56";1
9;"Rzeszów";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";485779;"65,07";2
9;"Rzeszów";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";5308;"0,71";0
9;"Rzeszów";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";25216;"3,38";0
9;"Rzeszów";9;"KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA";8;"Nie";2388;"0,32";0
10;"Kraków";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";73613;"4,23";0
10;"Kraków";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";78568;"4,51";0
10;"Kraków";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";505400;"29,03";2
10;"Kraków";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";980816;"56,33";4
10;"Kraków";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";16813;"0,97";0
10;"Kraków";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";67272;"3,86";0
10;"Kraków";7;"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI";10;"Nie";13128;"0,75";0
10;"Kraków";9;"KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA";10;"Nie";5512;"0,32";0
11;"Katowice";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";73761;"4,61";0
11;"Katowice";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";93120;"5,82";1
11;"Katowice";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";643567;"40,24";3
11;"Katowice";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";691641;"43,25";3
11;"Katowice";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";18813;"1,18";0
11;"Katowice";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";60812;"3,80";0
11;"Katowice";7;"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI";10;"Nie";17617;"1,10";0
12;"Wrocław";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";65208;"4,98";0
12;"Wrocław";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";88515;"6,76";0
12;"Wrocław";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";574397;"43,87";2
12;"Wrocław";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";506921;"38,72";2
12;"Wrocław";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";17437;"1,33";0
12;"Wrocław";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";56807;"4,34";0
13;"Gorzów Wielkopolski";1;"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY";10;"Nie";34071;"3,88";0
13;"Gorzów Wielkopolski";2;"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA";10;"Tak";65556;"7,46";0
13;"Gorzów Wielkopolski";3;"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI";10;"Tak";419819;"47,76";2
13;"Gorzów Wielkopolski";4;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";10;"Tak";323929;"36,85";2
13;"Gorzów Wielkopolski";5;"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS";10;"Nie";9789;"1,11";0
13;"Gorzów Wielkopolski";6;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";10;"Nie";25941;"2,95";0
